Run,in:levels,in:shift,in:levelfraction,in:floorthickness,in:fractionextension,in:wallrvalue,in:roofrvalue,in:floortype,in:shadingenergy,in:shadingmateriallighting,in:InfiltrationAch,in:glazingtype,in:ceilingmaterial,in:hvacheating_type,in:hvachotwater,in:hvacecon,in:hvacheatrecovery,in:buildinglpd,in:hvaccold,out:EUI,out:CO2,out:Cost,out:Area,out:dgp,out:udi,img:udi,img:DGP,img:floor
108,4,0,1,0.2,1.25,W0,R0,F2,None,Sunvision Ecru,3,DoublePaneLoEe2,Black Ceiling,1,0,0,0.75,0.98,3,119.09,73.93,20.92,537.89,0;2.248981;0.048014;6.495726,123.14,Iterator108_Parallel.png,Iterator108_Parallel.png,Iterator108.png
109,4,1,2,0.15,1.1,W0,R3,F1,None,Sunvision Ecru,0.1,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,1,0,0,0.75,1.3,3,128.82,76.67,21.2,356.35,0.534905;0.971916;8.180673;1.39324,262.14,Iterator109_Parallel.png,Iterator109_Parallel.png,Iterator109.png
110,2,1,1,0.2,1.25,W1,R0,F2,None,Golden low-E fabric WBI2W,3,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,2,0,0,0.75,2,0,154.91,84.11,21.99,268.95,9.100418;0.74235,359.77,Iterator110_Parallel.png,Iterator110_Parallel.png,Iterator110.png
111,3,1,2,0.2,1,W1,R0,F1,1,Golden low-E fabric WBI2W,0.1,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,2,1,1,0,2,0,154.83,84.32,22.09,268.95,0.81348;0.784231;1.817617;2.971456,375.95,Iterator111_Parallel.png,Iterator111_Parallel.png,Iterator111.png
112,3,0,1,0.15,1.25,W0,R1,F1,1,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),White Ceiling,1,0,1,0,0.98,0,149.07,81.41,21.37,403.42,6.087778;1.769718;0.823164,325.73,Iterator112_Parallel.png,Iterator112_Parallel.png,Iterator112.png
113,4,0,1,0.3,1,W0,R0,F1,1,Sunvision Ecru,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,1,1,0,0.75,2,0,150.79,81.94,21.44,537.89,0;2.233958;0.06954;6.946422,204.28,Iterator113_Parallel.png,Iterator113_Parallel.png,Iterator113.png
114,3,1,3,0.2,1.1,W1,R3,F1,1,Sunvision Ecru,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,3,1,0,0,2,0,140.81,79.53,21.32,233.09,2.461181;3.248431;5.378602,554.39,Iterator114_Parallel.png,Iterator114_Parallel.png,Iterator114.png
115,2,1,3,0.15,1.1,W1,R0,F1,None,Golden low-E fabric WBI2W,1.5,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,0,0,0,0.75,2,1,162.02,85.41,21.9,183.78,3.209949;3.265743,359.79,Iterator115_Parallel.png,Iterator115_Parallel.png,Iterator115.png
116,4,0,3,0.2,1.25,W1,R3,F1,None,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),White Ceiling,1,0,0,0,0.98,3,116.57,72.84,20.68,302.56,1.59007;7.349036;0.85115;1.197379,351.69,Iterator116_Parallel.png,Iterator116_Parallel.png,Iterator116.png
117,2,1,3,0.3,1.1,W2,R2,F1,None,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,1,0,1,0,0.98,1,137.86,77.95,20.91,183.78,3.293059;3.351023,487.4,Iterator117_Parallel.png,Iterator117_Parallel.png,Iterator117.png
118,4,1,2,0.15,1.25,W2,R2,F2,None,Golden low-E fabric WBI2W,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,2,0,1,0,0.98,1,125.26,74.32,20.51,386.61,3.601486;0.137214;7.899345;1.251241,219.74,Iterator118_Parallel.png,Iterator118_Parallel.png,Iterator118.png
119,2,1,1,0.2,1.25,W0,R1,F1,None,Sunvision Ecru,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,1,1,1,0,2,1,137.73,77.91,20.91,268.95,13.875979;0.745099,410.42,Iterator119_Parallel.png,Iterator119_Parallel.png,Iterator119.png
120,4,1,3,0.3,1,W1,R1,F2,None,Sunvision Ecru,1.5,Vistacool on Pacifica - Clear (Krypton),Ceiling LM83,1,1,0,0,1.3,1,135.17,77.12,20.8,268.95,1.545252;0.306158;2.930507;8.033901,521.76,Iterator120_Parallel.png,Iterator120_Parallel.png,Iterator120.png
121,2,1,1,0.2,1.1,W1,R0,F2,None,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,3,0,0,0,0.98,0,153.5,84.1,22.12,268.95,14.099945;0.744989,504.94,Iterator121_Parallel.png,Iterator121_Parallel.png,Iterator121.png
122,3,0,1,0.15,1.1,W3,R0,F1,None,Golden low-E fabric WBI2W,1.5,DoublePaneLoEe2,White Ceiling,0,0,0,0,2,2,122.15,75.53,21.32,403.42,6.125276;1.759188;0.822275,326.29,Iterator122_Parallel.png,Iterator122_Parallel.png,Iterator122.png
123,4,1,1,0.2,1,W3,R2,F1,None,Golden low-E fabric WBI2W,0.1,Solarcool on Pacifica - Clear (Argon),White Ceiling,0,0,1,0.75,2,0,138.96,78.29,20.96,537.89,0;2.32686;0.061265;5.462532,184.19,Iterator123_Parallel.png,Iterator123_Parallel.png,Iterator123.png
124,2,0,2,0.15,1,W0,R1,F2,None,Golden low-E fabric WBI2W,3,DoublePaneLoEe2,Black Ceiling,2,0,1,0,2,2,117.56,75.59,21.77,201.71,3.533835;3.123249,398.22,Iterator124_Parallel.png,Iterator124_Parallel.png,Iterator124.png
125,4,1,1,0.2,1,W1,R1,F2,None,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),Black Ceiling,1,0,1,0,2,0,139.89,78.57,20.99,537.89,0;2.224343;0.070401;5.534265,115.09,Iterator125_Parallel.png,Iterator125_Parallel.png,Iterator125.png
126,4,1,1,0.3,1.25,W1,R0,F2,1,Sunvision Ecru,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,0,0,1,0,1.3,0,147.32,80.87,21.3,537.89,0;2.223469;0.055789;5.953321,171.15,Iterator126_Parallel.png,Iterator126_Parallel.png,Iterator126.png
127,2,1,3,0.3,1,W2,R0,F2,1,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,3,0,1,0.75,2,3,119.68,76.95,22.17,179.3,4.90829;5.988759,662.96,Iterator127_Parallel.png,Iterator127_Parallel.png,Iterator127.png
